,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
646,2.0,,,,,0.6666666666666667,,,,
1997,,10.0,4.0,,6.0,,7.222222222222223,2.666666666666667,,2.5
647,2.0,,4.0,4.0,8.0,3.3333333333333335,2.777777777777778,0.6666666666666667,4.375,3.125
1998,,4.0,,,,,4.444444444444444,1.3333333333333335,0.0,
2028,,,,,4.0,,,,,1.25
648,10.0,10.0,10.0,4.0,4.0,9.106666666666666,7.222222222222223,10.0,1.875,1.25
649,8.0,2.0,4.0,2.0,,6.0,3.8888888888888884,4.0,0.625,0.625
650,10.0,10.0,2.0,4.0,10.0,7.333333333333333,8.333333333333332,3.3333333333333335,1.25,5.0
651,0.0,,,,8.0,0.0,,1.3333333333333335,,3.125
652,2.0,0.0,2.0,,,0.6666666666666667,0.5555555555555555,2.0,,
653,6.0,4.0,3.4200000000000004,4.0,4.0,2.666666666666667,5.0,2.473333333333333,3.75,1.25
654,8.0,10.0,10.0,8.66,6.0,8.0,7.777777777777777,6.666666666666667,7.70625,1.875
655,8.0,10.0,10.0,8.66,6.0,8.0,7.777777777777777,6.666666666666667,3.75,1.875
656,4.0,,,,,4.0,0.5555555555555555,0.6666666666666667,,
657,10.0,9.0,6.0,8.0,6.0,4.0,8.527777777777777,4.4399999999999995,5.3125,2.5
658,6.0,,,,,2.0,,,,
659,8.0,10.0,10.0,7.32,10.0,3.3333333333333335,3.8888888888888884,6.0,2.9125,3.125
660,6.0,10.0,8.0,,10.0,7.333333333333333,9.444444444444445,9.2,,10.0
661,6.0,3.2,2.0,6.0,,6.0,0.8888888888888891,4.666666666666666,1.875,
1999,,10.0,8.0,,10.0,,7.222222222222223,3.166666666666667,2.5,10.0
662,4.0,6.0,2.0,,8.0,2.666666666666667,3.3333333333333335,1.3333333333333335,,5.0
663,4.0,8.0,,4.0,2.0,1.3333333333333335,2.777777777777778,,1.25,0.625
664,2.0,,5.5600000000000005,4.0,4.0,0.6666666666666667,3.8888888888888884,3.853333333333333,3.75,1.25
2039,,,,,,,,0.6666666666666667,,
2029,,,,,8.0,,,,,4.7875
665,10.0,10.0,10.0,10.0,10.0,8.0,8.333333333333332,6.0,5.0,4.375
1689,8.0,10.0,10.0,4.0,10.0,8.0,7.222222222222223,6.666666666666667,3.75,3.125
1691,10.0,10.0,8.0,6.0,7.0,3.3333333333333335,2.777777777777778,5.333333333333334,0.0,2.1875
1690,10.0,10.0,8.0,6.0,7.0,3.3333333333333335,2.777777777777778,5.333333333333334,1.875,2.1875
2030,,,,,10.0,1.3333333333333335,,1.3333333333333335,,3.125
1692,0.0,4.0,4.0,,8.0,0.0,4.444444444444444,4.0,,3.125
1948,10.0,10.0,10.0,,,4.666666666666666,5.555555555555556,8.0,0.625,
1949,4.0,10.0,,,,1.3333333333333335,3.3333333333333335,2.666666666666667,,
1981,2.0,10.0,1.42,4.0,7.0,0.6666666666666667,3.3333333333333335,2.473333333333333,1.875,2.1875
