,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
2035,,,,,,,,0.6666666666666667,,
2032,,,,,,,3.3333333333333335,1.3333333333333335,,
0,8.0,10.0,8.0,,10.0,7.773333333333333,8.805555555555555,8.0,,10.0
1982,,8.0,2.0,,4.0,0.0,5.0,0.6666666666666667,1.25,2.5
2012,,,,0.0,2.0,0.0,,0.0,0.0,0.9375
2,10.0,10.0,10.0,10.0,10.0,9.333333333333332,10.0,10.0,3.75,9.375
1,10.0,10.0,10.0,10.0,10.0,9.333333333333332,10.0,10.0,10.0,9.375
3,4.0,6.0,2.0,,2.0,1.3333333333333335,5.0,2.166666666666667,1.25,0.625
4,8.0,9.6,10.0,10.0,8.0,5.333333333333334,7.666666666666667,8.440000000000001,8.125,5.0
5,8.0,9.6,10.0,10.0,8.0,5.333333333333334,7.666666666666667,8.440000000000001,1.25,5.0
2000,,,2.0,,8.0,,,1.0533333333333332,,2.5
6,2.0,10.0,8.0,,,3.3333333333333335,5.0,4.0,,
7,8.0,9.6,8.0,,10.0,8.0,8.6,9.64,,8.75
8,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,7.5,6.25
9,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,8.75,6.25
10,4.0,8.0,4.0,2.0,8.0,1.3333333333333335,7.58888888888889,1.6866666666666668,3.33125,2.5
2013,,,,,2.0,,,1.3333333333333335,,0.625
11,4.0,2.0,,,,3.3333333333333335,2.777777777777778,,,
12,10.0,10.0,8.0,10.0,6.0,3.3333333333333335,7.083333333333333,5.833333333333334,3.125,1.875
13,10.0,9.6,6.0,6.0,8.0,7.333333333333333,6.916666666666667,4.666666666666666,5.0,5.0
2014,,,,,4.0,1.3333333333333335,,0.6666666666666667,,3.125
14,2.0,,2.0,,2.0,0.6666666666666667,0.5555555555555555,2.666666666666667,,1.875
15,2.0,,,,,0.6666666666666667,,,,
16,10.0,10.0,7.82,10.0,10.0,9.333333333333332,7.222222222222223,9.713333333333335,3.125,4.375
17,8.0,2.0,6.0,10.0,8.0,2.666666666666667,4.444444444444444,4.666666666666666,3.125,2.5
19,8.0,10.0,10.0,10.0,10.0,6.666666666666667,7.777777777777777,8.0,5.0,8.75
18,8.0,10.0,10.0,10.0,10.0,6.666666666666667,7.777777777777777,8.0,6.875,8.75
2001,,,2.0,,,,,2.0,,6.875
20,10.0,10.0,10.0,8.0,,3.3333333333333335,9.444444444444445,7.333333333333333,3.125,
21,6.0,10.0,2.0,,,2.0,3.3333333333333335,2.0,,
2015,,,,,2.0,,2.777777777777778,,,0.625
2002,,,2.0,,6.0,0.6666666666666667,0.5555555555555555,2.0,,4.375
22,10.0,10.0,10.0,,6.0,7.333333333333333,7.222222222222223,2.666666666666667,0.625,1.875
23,2.0,2.0,,,,0.6666666666666667,2.222222222222222,0.6666666666666667,,
24,4.0,4.0,2.0,,8.0,1.3333333333333335,1.6666666666666667,1.3333333333333335,,6.875
2003,,,2.0,,2.0,,1.111111111111111,1.3333333333333335,,1.25
25,6.0,7.6,10.0,8.66,10.0,3.8333333333333335,5.161111111111111,4.666666666666666,5.83125,4.375
26,2.0,10.0,6.0,,,0.6666666666666667,3.3333333333333335,1.3333333333333335,0.625,
27,10.0,6.8,2.0,,7.0,7.333333333333333,5.611111111111112,0.6666666666666667,,2.8125
28,10.0,10.0,9.84,10.0,10.0,5.333333333333334,7.222222222222223,9.28,7.5,9.6875
2016,,,,,10.0,,,1.3333333333333335,,3.125
29,0.0,8.0,3.3200000000000003,2.0,6.5,1.3333333333333335,7.177777777777777,1.5466666666666666,1.2375,3.90625
30,0.0,8.0,3.3200000000000003,2.0,6.5,1.3333333333333335,7.177777777777777,1.5466666666666666,2.5,3.90625
31,8.0,10.0,8.0,4.0,,6.0,10.0,6.666666666666667,2.5,0.625
32,10.0,10.0,10.0,10.0,10.0,9.833333333333332,9.905555555555555,10.0,7.5,9.375
33,8.0,10.0,10.0,10.0,10.0,7.333333333333333,8.88888888888889,9.333333333333332,10.0,9.375
34,8.0,10.0,10.0,10.0,10.0,7.333333333333333,8.88888888888889,9.333333333333332,9.375,9.375
35,4.0,,,,,1.3333333333333335,0.5555555555555555,,,
36,10.0,10.0,10.0,,10.0,3.3333333333333335,2.777777777777778,5.333333333333334,0.625,8.125
37,3.8200000000000003,4.0,6.0,8.0,8.0,1.2733333333333332,5.0,4.666666666666666,5.0,2.5
38,8.0,4.0,10.0,,4.0,2.666666666666667,2.222222222222222,4.666666666666666,0.625,1.875
2017,,,,,4.0,,,0.6666666666666667,,1.25
550,10.0,6.0,3.8200000000000003,,4.5,7.720000000000001,5.305555555555556,3.2733333333333325,,2.65625
551,2.0,8.0,6.0,10.0,10.0,0.6666666666666667,5.555555555555556,6.666666666666667,8.75,5.0
552,6.0,,,,,2.0,,,,
553,10.0,10.0,10.0,10.0,10.0,8.666666666666668,6.666666666666667,9.333333333333332,5.0,5.0
554,8.0,10.0,8.0,,10.0,8.0,9.361111111111112,8.0,,8.75
2004,,,2.0,,,,,2.0,,
555,4.0,6.0,2.5,0.0,2.0,2.5,4.1,2.6066666666666665,0.0,0.625
556,10.0,10.0,10.0,10.0,10.0,7.333333333333333,3.3333333333333335,6.0,3.75,3.125
558,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,7.5,3.75
557,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,10.0,3.75
559,8.0,2.0,2.0,,10.0,2.666666666666667,3.8888888888888884,3.3333333333333335,,3.75
2033,,,,,,,1.111111111111111,,,
560,8.0,,3.4200000000000004,,6.0,2.666666666666667,3.3333333333333335,3.806666666666667,0.0,2.8125
561,10.0,10.0,10.0,6.0,10.0,8.666666666666668,10.0,10.0,6.875,3.125
1983,,6.0,,,,,1.6666666666666667,,,
562,6.0,2.0,,,,2.0,0.5555555555555555,,,
563,10.0,10.0,10.0,10.0,10.0,8.0,9.444444444444445,8.0,7.5,7.5
564,10.0,10.0,10.0,10.0,10.0,8.0,9.444444444444445,8.0,8.125,7.5
565,10.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,5.0,3.125
566,0.0,,,,,0.0,,,,
567,8.0,8.0,8.0,,,4.666666666666666,5.0,3.3333333333333335,,
568,4.0,,4.0,2.0,,1.3333333333333335,3.3333333333333335,3.3333333333333335,3.125,
1984,,6.0,,,,,5.555555555555556,,,
1985,,10.0,10.0,,,,2.777777777777778,3.3333333333333335,0.625,
569,4.0,10.0,6.0,8.0,10.0,1.3333333333333335,3.3333333333333335,5.333333333333334,2.5,3.125
570,8.0,5.2,7.840000000000001,6.0,8.0,3.3333333333333335,2.555555555555556,3.9466666666666668,2.5,2.5
571,4.0,6.0,,,,1.3333333333333335,3.3333333333333335,,,
572,10.0,10.0,6.0,4.0,,3.3333333333333335,6.666666666666667,5.333333333333334,3.75,
2005,,,2.0,,4.0,,,2.666666666666667,,1.25
2018,,,,,6.0,0.6666666666666667,,,,3.75
1986,,6.0,,,,,4.444444444444444,,0.2,
573,9.0,9.5,4.0,2.0,8.0,7.666666666666667,8.005555555555556,3.3333333333333335,1.25,5.625
574,9.0,9.5,4.0,2.0,8.0,7.666666666666667,8.005555555555556,3.3333333333333335,0.625,5.625
1987,,3.6,,,,,1.0,,,
575,8.0,10.0,6.0,6.0,10.0,3.3333333333333335,6.477777777777777,2.666666666666667,2.5,3.125
576,8.0,9.6,3.4200000000000004,9.32,8.0,5.333333333333334,6.9222222222222225,5.14,6.0375,4.375
577,8.0,9.6,3.4200000000000004,9.32,8.0,5.333333333333334,6.9222222222222225,5.14,0.0,4.375
579,8.0,9.6,10.0,10.0,8.0,6.220000000000001,9.144444444444444,8.0,10.0,8.75
578,8.0,9.6,10.0,10.0,8.0,6.220000000000001,9.144444444444444,8.0,6.25,8.75
580,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,6.875,5.625
1989,,8.0,6.0,8.0,8.0,,7.777777777777777,4.666666666666666,5.0,8.125
1988,,8.0,6.0,8.0,8.0,,7.777777777777777,4.666666666666666,5.0,8.125
581,8.0,10.0,8.0,,10.0,8.0,9.361111111111112,8.0,,9.375
2019,,,,,8.0,,,,,9.375
582,10.0,,2.0,2.0,6.0,3.3333333333333335,,3.3333333333333335,1.25,3.125
583,8.0,8.0,4.0,4.0,8.0,3.3333333333333335,6.666666666666667,4.0,1.875,3.125
584,2.0,,6.0,,8.0,1.3333333333333335,,4.0,0.0,4.375
585,8.0,10.0,8.0,,10.0,8.0,8.88888888888889,10.0,,5.0
586,8.0,6.0,6.0,10.0,8.0,2.666666666666667,4.444444444444444,4.666666666666666,5.0,5.625
587,2.0,,,,,0.6666666666666667,3.3333333333333335,,0.625,
2006,,,2.0,,4.0,,,2.0,,2.8125
588,2.0,,,,,0.6666666666666667,,,,
589,10.0,10.0,6.0,10.0,8.0,3.3333333333333335,7.222222222222223,6.0,3.75,3.125
590,10.0,10.0,10.0,2.0,,3.3333333333333335,5.555555555555556,5.333333333333334,1.25,
591,8.0,9.6,0.0,,,6.666666666666667,7.294444444444444,2.666666666666667,,
593,10.0,10.0,10.0,10.0,10.0,8.666666666666668,8.172222222222222,9.333333333333332,6.875,7.70625
592,10.0,10.0,10.0,10.0,10.0,8.666666666666668,8.172222222222222,9.333333333333332,7.5,7.70625
1990,,2.0,,,,0.6666666666666667,1.6666666666666667,0.6666666666666667,,
594,10.0,10.0,4.0,,,3.3333333333333335,4.627777777777778,2.666666666666667,0.625,
595,8.0,,2.0,,,2.666666666666667,,,1.25,
596,6.0,9.6,8.0,,4.0,6.0,8.583333333333332,9.2,,1.25
597,10.0,,2.0,2.0,10.0,7.333333333333333,0.5555555555555555,,3.125,10.0
598,6.0,,2.0,2.0,,2.0,2.222222222222222,0.6666666666666667,0.625,
599,2.0,6.0,2.0,,,0.6666666666666667,1.6666666666666667,2.666666666666667,,
600,10.0,9.6,10.0,10.0,10.0,4.666666666666666,9.738888888888887,10.0,3.75,3.125
601,6.0,10.0,8.0,,8.0,7.333333333333333,9.444444444444445,7.866666666666667,,9.375
602,4.0,4.0,3.84,,6.0,3.3333333333333335,4.616666666666665,3.9466666666666668,,2.5
1991,,2.0,,,,,1.6666666666666667,1.3333333333333335,,
2034,,,,,,,0.5555555555555555,,,
1992,,2.0,2.0,2.0,6.0,,3.8888888888888884,2.666666666666667,2.5,1.875
604,10.0,10.0,6.0,10.0,10.0,8.0,6.111111111111112,4.0,8.75,7.70625
603,10.0,10.0,6.0,10.0,10.0,8.0,6.111111111111112,4.0,4.375,7.70625
1993,,2.0,,,2.0,2.0,4.444444444444444,,,0.625
605,6.0,6.6,10.0,8.0,10.0,2.666666666666667,2.388888888888889,4.0,0.0,3.75
606,6.0,6.6,10.0,8.0,10.0,2.666666666666667,2.388888888888889,4.0,3.75,3.75
2020,,,,,2.0,,,,,0.625
2036,,,,,,,,0.6666666666666667,,0.0
607,10.0,8.0,4.0,,8.0,8.166666666666668,6.666666666666667,4.666666666666666,,6.875
2021,,,,,2.0,,,,,0.625
608,10.0,10.0,6.0,,2.0,8.666666666666668,9.916666666666668,4.0,3.125,1.875
609,8.0,,,,2.0,9.333333333333332,,,,0.625
610,4.0,10.0,8.0,,,1.3333333333333335,2.777777777777778,2.666666666666667,,
611,6.0,10.0,6.0,,,6.666666666666667,9.444444444444445,7.2,,1.25
612,10.0,10.0,10.0,10.0,10.0,8.0,9.85,10.0,5.625,3.125
613,8.0,9.6,2.0,0.4,,2.666666666666667,8.922222222222222,2.886666666666667,0.125,
614,6.0,2.0,6.0,6.0,6.0,4.0,3.8888888888888884,6.666666666666667,6.25,3.75
2007,,,2.0,,,,,2.0,,
615,2.0,,,,,0.6666666666666667,,,,
617,10.0,10.0,10.0,10.0,10.0,8.666666666666668,10.0,10.0,10.0,9.375
616,10.0,10.0,10.0,10.0,10.0,8.666666666666668,10.0,10.0,5.0,9.375
618,4.0,,,,,1.3333333333333335,,,,
2037,,,,,,,,0.6666666666666667,,
2022,,,,,4.0,,,1.3333333333333335,,1.25
619,10.0,10.0,10.0,10.0,10.0,4.0,5.555555555555556,8.666666666666668,4.375,4.375
2040,,,,,,,,,,0.0
2008,,,2.0,,10.0,0.0,0.4611111111111111,1.0533333333333332,,4.7875
620,8.0,10.0,6.0,,8.0,2.666666666666667,6.35,2.666666666666667,,9.375
621,4.0,8.0,5.84,,4.0,3.3333333333333335,7.777777777777777,6.6466666666666665,,1.875
622,4.0,,,,,1.3333333333333335,,,,
623,10.0,10.0,2.0,,,4.0,3.8888888888888884,2.0,,
624,4.0,10.0,4.0,,,2.0,5.0,3.3333333333333335,0.625,
2009,,,2.0,,8.0,,,1.3333333333333335,,2.5
625,4.0,10.0,10.0,2.0,10.0,1.3333333333333335,2.777777777777778,2.666666666666667,3.125,3.125
626,8.0,10.0,8.0,,10.0,4.666666666666666,5.555555555555556,3.3333333333333335,,5.3125
2010,,,2.0,,,,,2.0,,
627,10.0,10.0,10.0,6.0,10.0,4.0,9.444444444444445,7.333333333333333,3.125,3.125
628,4.0,4.0,2.0,,8.0,2.0,5.555555555555556,3.166666666666667,1.25,2.5
629,8.0,10.0,6.0,,10.0,8.0,8.11111111111111,3.3333333333333335,1.875,4.375
631,6.0,10.0,10.0,8.0,6.0,5.333333333333334,8.333333333333332,8.0,4.375,3.4375
630,6.0,10.0,10.0,8.0,6.0,5.333333333333334,8.333333333333332,8.0,1.25,3.4375
632,2.0,2.0,,,,0.6666666666666667,1.111111111111111,2.0,,
2011,,,6.0,,8.0,1.3333333333333335,2.222222222222222,6.0,,3.125
633,6.0,10.0,6.0,,2.0,2.666666666666667,9.444444444444445,4.666666666666666,1.09375,0.625
1994,,8.0,,,6.0,,3.3333333333333335,0.6666666666666667,,1.875
634,8.0,9.6,8.0,9.32,8.0,6.666666666666667,8.63888888888889,7.2,6.6625,2.5
2023,,,,,10.0,0.6666666666666667,,2.0,,10.0
635,10.0,10.0,10.0,6.0,10.0,3.3333333333333335,5.555555555555556,5.333333333333334,2.5,3.125
636,2.0,8.0,2.0,,2.0,0.6666666666666667,5.555555555555556,1.3333333333333335,,1.875
637,0.0,4.8,2.0,2.0,,0.0,3.2055555555555557,0.6666666666666667,1.25,
1995,,2.0,,,,,1.6666666666666667,0.16666666666666669,0.15625,
638,10.0,10.0,6.0,,,3.3333333333333335,2.777777777777778,4.0,,
2024,,,,,10.0,,,,,10.0
2025,,,,,2.0,,,2.666666666666667,,0.625
639,10.0,10.0,10.0,10.0,6.0,3.3333333333333335,5.555555555555556,6.0,4.375,2.5
640,0.0,,2.0,2.0,8.0,2.0,,,3.125,2.5
641,10.0,9.0,,2.0,6.0,3.3333333333333335,8.33888888888889,2.44,0.625,1.875
2026,,,,,4.0,,0.5833333333333333,1.3333333333333335,,2.5
2031,,,,,,0.6666666666666667,,0.6666666666666667,,
2038,,,,,,,,1.3333333333333335,,
2027,,,,,10.0,0.6666666666666667,,0.6666666666666667,,9.375
642,6.0,,2.0,,8.0,5.333333333333334,2.777777777777778,2.0,,3.125
643,10.0,8.0,2.0,2.0,8.0,3.3333333333333335,3.8888888888888884,4.0,0.625,2.5
644,2.0,,,,,0.6666666666666667,1.111111111111111,0.6666666666666667,1.25,
645,6.0,10.0,7.82,,8.0,5.333333333333334,9.444444444444445,7.806666666666667,,5.0
1996,,10.0,4.0,10.0,10.0,,7.222222222222223,6.0,3.125,3.75
