--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83842;22/03/1980;0000;;29.2;;8.4;3.8;22.54;81.75;1.7;
83842;22/03/1980;1200;0;;16.9;;;;;;
83842;23/03/1980;0000;;28.8;;5.7;3.6;22.76;84.75;1.8;
83842;23/03/1980;1200;0;;19;;;;;;
83842;25/03/1980;0000;;29.9;;8.3;4.4;23.14;63.5;1.633333;
83842;25/03/1980;1200;0;;15.4;;;;;;
83842;28/03/1980;0000;;28.9;;8.2;4.8;23.06;65.5;3.666667;
83842;28/03/1980;1200;0;;17.8;;;;;;
83842;29/03/1980;0000;;25.6;;5.8;6;21.44;76.5;3.733333;
83842;29/03/1980;1200;2.8;;19.4;;;;;;
83842;30/03/1980;0000;;23;;3.1;3.3;19.14;85;3.5;
83842;30/03/1980;1200;3.2;;16.8;;;;;;
83842;02/04/1980;0000;;22.8;;7.4;1.9;16.48;86.75;3.2;
83842;02/04/1980;1200;0.1;;12.3;;;;;;
83842;03/04/1980;0000;;20.8;;0;2.1;17.32;90.5;1.033333;
83842;03/04/1980;1200;0;;13.7;;;;;;
83842;04/04/1980;0000;;21.6;;0;0.8;18.62;89.25;1.166667;
83842;04/04/1980;1200;0.6;;16.8;;;;;;
83842;06/04/1980;0000;;23.9;;7.8;2.1;18.2;87.5;2.3;
83842;06/04/1980;1200;0;;15.2;;;;;;
83842;07/04/1980;0000;;22.4;;6.1;1.8;17.18;83.75;2.933333;
83842;07/04/1980;1200;0;;14.4;;;;;;
83842;08/04/1980;0000;;25.4;;4.7;2.1;18.82;88;2.466667;
83842;08/04/1980;1200;0;;14.2;;;;;;
83842;09/04/1980;0000;;27.4;;7.6;1.5;21.16;79;2.6;
83842;09/04/1980;1200;0;;17.2;;;;;;
83842;10/04/1980;0000;;28;;7.8;3.4;22.44;74.25;3.766667;
83842;10/04/1980;1200;0;;18;;;;;;
83842;11/04/1980;0000;;27.7;;7.2;3.5;22.72;77.5;3.8;
83842;11/04/1980;1200;0;;18.7;;;;;;
83842;16/04/1980;0000;;16.2;;0;0.3;13.92;92;2.8;
83842;16/04/1980;1200;0.5;;12.1;;;;;;
83842;18/04/1980;0000;;27.8;;7.3;1;19.86;85.5;2.266667;
83842;18/04/1980;1200;0;;15.4;;;;;;
83842;19/04/1980;0000;;27.2;;7.1;3;19.02;82.5;1.7;
83842;19/04/1980;1200;0;;12.2;;;;;;
83842;20/04/1980;0000;;27.2;;8.3;1.6;19.7;74.25;1.4;
83842;20/04/1980;1200;0;;16.6;;;;;;
83842;21/04/1980;0000;;25.2;;9.8;2.8;18.24;80.75;2.666667;
83842;21/04/1980;1200;0.1;;13.5;;;;;;
83842;22/04/1980;0000;;26.8;;6.9;2.4;18.24;85;1.566667;
83842;22/04/1980;1200;0.1;;14.6;;;;;;
83842;23/04/1980;0000;;26.2;;5.6;2.1;18.36;87;1.966667;
83842;23/04/1980;1200;0.1;;14.4;;;;;;
83842;24/04/1980;0000;;24.1;;9.2;1.4;17.38;82.75;1.633333;
83842;24/04/1980;1200;0.1;;13.1;;;;;;
83842;25/04/1980;0000;;21.2;;5.2;1.5;16.18;86.5;1.966667;
83842;25/04/1980;1200;0.1;;11.6;;;;;;
83842;29/04/1980;0000;;25.5;;7.8;1.8;17.1;83.5;1.2;
83842;29/04/1980;1200;0.1;;13.2;;;;;;
83842;30/04/1980;0000;;25.4;;7.2;2.5;18.28;74.5;1.433333;
83842;30/04/1980;1200;0.1;;13.1;;;;;;
83842;03/05/1980;0000;;17.7;;0.5;1.3;14.4;88.5;1.7;
83842;03/05/1980;1200;2.1;;12.8;;;;;;
83842;04/05/1980;0000;;17.8;;9.9;1.3;11.08;64.5;2.766667;
83842;04/05/1980;1200;4.6;;6.5;;;;;;
83842;05/05/1980;0000;;22.6;;9.6;3.1;11.24;72.75;1.333333;
83842;05/05/1980;1200;0;;3.1;;;;;;
83842;06/05/1980;0000;;24.4;;9.2;3.1;14.46;70.75;1.733333;
83842;06/05/1980;1200;0.1;;5.9;;;;;;
83842;07/05/1980;0000;;26;;9.2;4;16.98;;1.833333;
83842;07/05/1980;1200;0;;10.2;;;;;;
83842;08/05/1980;0000;;21;;3;3.6;16.96;85.25;2.466667;
83842;08/05/1980;1200;2.5;;15;;;;;;
83842;09/05/1980;0000;;19.8;;0.5;1.2;15.46;89.75;0.966667;
83842;09/05/1980;1200;1.9;;12.4;;;;;;
83842;11/05/1980;0000;;22.7;;4;0.9;17.3;84.5;1.666667;
83842;11/05/1980;1200;3.5;;13.7;;;;;;
83842;13/05/1980;0000;;21.4;;4.4;1.2;17.46;89.75;1.966667;
83842;13/05/1980;1200;0.1;;14.6;;;;;;
83842;14/05/1980;0000;;23.4;;6.7;1.3;16.42;88;1.1;
83842;14/05/1980;1200;0.2;;11.7;;;;;;
83842;15/05/1980;0000;;25;;5.8;1.5;18.34;79.25;1.866667;
83842;15/05/1980;1200;0;;14.2;;;;;;
83842;17/05/1980;0000;;22.8;;0.6;3.7;17.3;89.5;1.833333;
83842;17/05/1980;1200;0.1;;13.8;;;;;;
83842;18/05/1980;0000;;22.8;;1.5;0.6;17.52;86.75;2.4;
83842;18/05/1980;1200;0;;15.4;;;;;;
83842;21/05/1980;0000;;20.8;;0.7;2.1;17.68;81;3.1;
83842;21/05/1980;1200;3.3;;15.1;;;;;;
83842;24/05/1980;0000;;21.9;;8.6;1.2;14.72;84;1.466667;
83842;24/05/1980;1200;0;;9.4;;;;;;
83842;25/05/1980;0000;;20;;5.7;2.1;13.26;88.5;1.3;
83842;25/05/1980;1200;0.2;;10;;;;;;
83842;27/05/1980;0000;;22.9;;5.2;1.8;15.56;86;2.766667;
83842;27/05/1980;1200;0;;12;;;;;;
83842;28/05/1980;0000;;23.4;;4.7;1.4;17.02;73;1.966667;
83842;28/05/1980;1200;0;;12.3;;;;;;
83842;29/05/1980;0000;;25.1;;4.6;2.9;16.96;77;1.033333;
83842;29/05/1980;1200;0;;11.2;;;;;;
83842;30/05/1980;0000;;24.7;;7.3;2.7;18.16;72.5;2.7;
83842;30/05/1980;1200;0.1;;13.3;;;;;;
83842;31/05/1980;0000;;18.9;;8.8;3.8;17.2;71;1.966667;
83842;31/05/1980;1200;0;;11.6;;;;;;
83842;01/06/1980;0000;;24.8;;6.8;4;18.74;67.75;2.9;
83842;01/06/1980;1200;0.1;;12.6;;;;;;
83842;09/06/1980;0000;;24;;7.4;1.7;15.68;78.75;1.533333;
83842;09/06/1980;1200;0;;8.7;;;;;;
83842;11/06/1980;0000;;24.1;;6.5;4;18.96;60;2.266667;
83842;11/06/1980;1200;0;;15.1;;;;;;
83842;12/06/1980;0000;;23.4;;3.8;5.4;17.14;65.5;2.433333;
83842;12/06/1980;1200;0;;13.4;;;;;;
83842;16/06/1980;0000;;20.7;;7.6;1.2;11.92;81.75;2.233333;
83842;16/06/1980;1200;0;;8;;;;;;
83842;18/06/1980;0000;;22.4;;8;3;12.4;71.5;0.5;
83842;18/06/1980;1200;0;;4.5;;;;;;
83842;29/06/1980;0000;;24.2;;9;2.9;12.7;80.75;1.933333;
83842;29/06/1980;1200;0;;5.2;;;;;;
83842;30/06/1980;0000;;23.4;;9.1;2.5;16.86;71.25;4.2;
83842;30/06/1980;1200;0;;10.8;;;;;;
83842;01/07/1980;0000;;17.7;;0;4.8;13.08;97.75;2.866667;
83842;01/07/1980;1200;1.4;;10.8;;;;;;
83842;04/07/1980;0000;;14;;0.7;1;10.92;87.75;2.3;
83842;04/07/1980;1200;0.3;;7.6;;;;;;
83842;05/07/1980;0000;;14.8;;0.9;1;11.5;92.25;2.6;
83842;05/07/1980;1200;0.2;;10.2;;;;;;
83842;06/07/1980;0000;;15.6;;0.1;1.2;12.38;85.25;2.8;
83842;06/07/1980;1200;0;;10.2;;;;;;
83842;09/07/1980;0000;;19.2;;0.3;2.9;15.26;95.25;2.133333;
83842;09/07/1980;1200;9;;12.8;;;;;;
83842;13/07/1980;0000;;21.2;;3.3;1.3;15.62;83;2.7;
83842;13/07/1980;1200;0.1;;10.8;;;;;;
83842;14/07/1980;0000;;23.1;;5.3;3.5;18.16;67.5;6.466667;
83842;14/07/1980;1200;0;;13.2;;;;;;
83842;19/07/1980;0000;;24.3;;7.1;1;16.44;71.75;2.2;
83842;19/07/1980;1200;0;;11.1;;;;;;
