--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;18/09/1983;0000;;29.4;;7.7;0.4;;;;
82598;18/09/1983;1200;0;;25;;;;;;
82598;19/09/1983;0000;;29.8;;9.7;6.9;;;;
82598;19/09/1983;1200;0;;24.8;;;;;;
82598;20/09/1983;0000;;28.4;;9;17.3;;;;
82598;20/09/1983;1200;0;;22.4;;;;;;
82598;21/09/1983;0000;;29.6;;6.5;7.5;;;;
82598;21/09/1983;1200;0;;23.4;;;;;;
82598;22/09/1983;0000;;29.6;;9.1;6.5;;;;
82598;22/09/1983;1200;7.7;;23.4;;;;;;
82598;23/09/1983;0000;;29.5;;7.7;9.5;;;;
82598;23/09/1983;1200;0;;25;;;;;;
82598;24/09/1983;0000;;29.6;;9;;;;;
82598;24/09/1983;1200;;;22.2;;;;;;
82598;25/09/1983;0000;;29.6;;9.5;8.6;;;;
82598;25/09/1983;1200;0;;23.1;;;;;;
82598;26/09/1983;0000;;29.4;;9.8;;;;;
82598;26/09/1983;1200;0;;25;;;;;;
82598;27/09/1983;0000;;28.4;;9.6;4.5;;;;
82598;27/09/1983;1200;0;;24.8;;;;;;
82598;28/09/1983;0000;;29.4;;9;9;;;;
82598;28/09/1983;1200;0;;25.2;;;;;;
82598;29/09/1983;0000;;29.2;;6.8;9.5;;;;
82598;29/09/1983;1200;0;;24.8;;;;;;
82598;30/09/1983;0000;;28.6;;5.8;;;;;
82598;30/09/1983;1200;0;;25;;;;;;
82598;01/10/1983;0000;;31.2;;9.7;9.7;27.08;84.25;5.533333;
82598;01/10/1983;1200;0;;24.6;;;;;;
82598;02/10/1983;0000;;29.7;;10.1;8.5;;;;
82598;02/10/1983;1200;0;;23.2;;;;;;
82598;03/10/1983;0000;;31;;7.9;9.2;26.68;88.75;6.633333;
82598;03/10/1983;1200;0.5;;24.4;;;;;;
82598;04/10/1983;0000;;31.4;;9.4;9.1;27.2;86;6.3;
82598;04/10/1983;1200;0.5;;24.4;;;;;;
82598;05/10/1983;0000;;31.4;;9.8;9.5;27.18;84.75;6.633333;
82598;05/10/1983;1200;0;;25;;;;;;
82598;06/10/1983;0000;;31.6;;9.9;9.4;26.96;85.5;7.733333;
82598;06/10/1983;1200;0;;25;;;;;;
82598;07/10/1983;0000;;29.8;;8.8;11.3;;;;
82598;07/10/1983;1200;0;;23.8;;;;;;
82598;08/10/1983;0000;;31.3;;9.4;7.2;26.78;85;6.766667;
82598;08/10/1983;1200;3.2;;23.2;;;;;;
82598;09/10/1983;0000;;31.2;;9.3;7.2;27.1;84.5;7.866667;
82598;09/10/1983;1200;0;;25.2;;;;;;
82598;10/10/1983;0000;;29.6;;9.3;9.6;;;;
82598;10/10/1983;1200;0;;24.6;;;;;;
82598;11/10/1983;0000;;31.5;;10.2;8.1;26.94;86;4.133333;
82598;11/10/1983;1200;0;;24.4;;;;;;
82598;12/10/1983;0000;;31;;9.9;9.7;26.84;84.25;5.833333;
82598;12/10/1983;1200;0;;24.4;;;;;;
82598;13/10/1983;0000;;29.6;;8.5;10;;;;
82598;13/10/1983;1200;0;;25;;;;;;
82598;14/10/1983;0000;;31.6;;9.6;10.5;26.4;86.25;5.733333;
82598;14/10/1983;1200;0.5;;23.2;;;;;;
82598;15/10/1983;0000;;29.8;;8.8;9;;;;
82598;15/10/1983;1200;0.5;;24.1;;;;;;
82598;16/10/1983;0000;;31.4;;0;10.5;27.16;82.25;5.366667;
82598;16/10/1983;1200;0;;25;;;;;;
82598;17/10/1983;0000;;31.4;;10.3;10.5;27;87.5;6.133333;
82598;17/10/1983;1200;0;;25;;;;;;
82598;18/10/1983;0000;;31.4;;10.7;9;27;83.75;4.7;
82598;18/10/1983;1200;0;;25;;;;;;
82598;19/10/1983;0000;;31;;10.5;9.5;26.92;87;4.6;
82598;19/10/1983;1200;0;;24.8;;;;;;
82598;20/10/1983;0000;;31.6;;10.3;9;27.08;86.75;6;
82598;20/10/1983;1200;0;;24.8;;;;;;
82598;21/10/1983;0000;;31.2;;9.9;9.9;27.12;86.25;6.233333;
82598;21/10/1983;1200;0;;25;;;;;;
82598;22/10/1983;0000;;31;;10.1;10.5;27.12;86.5;6.066667;
82598;22/10/1983;1200;0;;25.2;;;;;;
82598;23/10/1983;0000;;31.6;;9.9;9.9;26.96;85.25;6.566667;
82598;23/10/1983;1200;0;;24.8;;;;;;
82598;24/10/1983;0000;;31;;9.7;9.1;26.8;83.5;5.566667;
82598;24/10/1983;1200;0;;24.8;;;;;;
82598;25/10/1983;0000;;31.2;;9.6;10.5;26.96;80.75;6.166667;
82598;25/10/1983;1200;0;;24.6;;;;;;
82598;26/10/1983;0000;;29.3;;9.2;9.1;;;;
82598;26/10/1983;1200;1.3;;21.6;;;;;;
82598;27/10/1983;0000;;31;;9.6;9.1;26.96;77.75;6.166667;
82598;27/10/1983;1200;0;;25.2;;;;;;
82598;28/10/1983;0000;;31.8;;9.9;10;27.24;79.5;6.833333;
82598;28/10/1983;1200;0;;24.4;;;;;;
