"CIÊNCIA, TECNOLOGIA E SOCIEDADEnota",PRÁTICAS DE LEITURA E ESCRITA Inota,QUÍMICA GERALnota,CÁLCULO Inota,VETORES E GEOMETRIA ANALÍTICAnota,PRÉ-CÁLCULOnota,LÓGICA DE PROGRAMAÇÃOnota
7.70,5.30,6.10,7.90,5.00,6.20,3.10
5.70,5.50,6.80,9.10,8.30,5.80,5.00
7.40,7.10,5.60,5.90,5.10,5.30,7.10
7.10,5.00,6.50,5.90,2.20,2.00,3.00
8.60,6.20,6.10,5.10,5.20,6.70,3.70
1.00,6.30,5.40,1.70,2.30,5.20,1.10
7.30,6.00,5.40,1.00,5.80,0.70,0.80
3.80,5.20,5.70,5.30,0.80,7.00,6.80
5.40,6.50,7.30,6.50,5.00,6.90,8.50
8.70,6.40,7.20,5.10,2.40,2.20,4.40
3.60,5.80,5.10,0.80,0.40,1.60,0.30
5.80,6.10,5.50,5.20,4.00,6.00,5.30
7.00,5.00,5.60,5.00,5.30,1.40,0.50
7.00,5.70,6.50,1.10,1.10,1.20,-
6.60,7.00,6.10,5.30,5.00,6.20,2.00
1.80,5.40,4.60,0.90,1.20,6.50,-
5.90,4.60,5.50,3.50,1.00,3.80,0.00
8.20,6.30,6.00,5.60,6.10,6.60,5.90
5.20,5.50,5.90,4.30,3.50,7.20,1.10
9.40,7.60,7.10,7.00,7.00,7.50,7.70
5.50,6.50,8.00,5.60,2.60,7.30,5.40
7.10,5.80,6.00,0.00,3.30,3.50,0.00
6.40,5.30,5.30,5.30,2.00,8.00,5.80
5.00,5.50,0.30,0.00,4.00,5.20,0.70
5.10,6.70,1.60,2.90,4.40,5.00,8.10
7.30,5.90,1.10,2.10,2.70,5.00,-
8.00,7.10,2.70,4.40,3.90,5.00,5.30
6.30,7.60,1.00,5.40,5.30,6.70,-
4.00,5.80,5.20,1.70,6.30,6.70,6.00
3.60,3.20,1.90,0.00,1.80,5.10,0.00
5.30,5.40,3.00,0.00,5.30,5.00,6.50
5.60,6.80,5.60,0.30,4.00,6.00,6.80
5.60,6.20,3.70,3.00,5.00,4.30,3.50
8.20,6.40,1.90,2.80,5.00,5.10,0.00
6.50,6.20,6.70,1.70,6.00,7.20,3.30
4.50,5.20,0.80,0.00,0.30,3.30,0.00
7.90,6.10,7.80,7.80,5.20,1.40,6.50
4.80,5.20,2.50,5.20,0.50,5.00,0.00
6.70,5.80,6.00,5.20,5.30,6.70,4.50
9.20,7.20,5.50,3.50,0.50,1.80,-
0.70,0.00,0.00,1.00,0.00,0.00,-
